"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"21","Idaho ARES 2","CDA Idaho ARES 2","440.925","445.925","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"22","Local 1","ARI Local 1|BAW Local 1|BEU Local 1|BEV Local 1|BJJ Local 1|BRE Local 1|CDA Local 1|CHI Local 1|COR Local 1|ELU Local 1|ELV Local 1|EVE Local 1|GRE Local 1|KEC Local 1|KER Local 1|Local 1|MAZ Local 1|NBE Local 1|NEB Local 1|OLY Local 1|OSO Local 1|PPM Local 1|PSA Local 1|PSY Local 1|SAL Local 1|SCO Local 1|SKU Local 1|SKV Local 1|SLO Local 1|SME Local 1|SNO Local 1|SPC Local 1|STB Local 1|STI Local 1|SUL Local 1|TBA Local 1|TIU Local 1|TIV Local 1|TRU Local 1|WAR Local 1|WAR Local 1|WAR Local 1|WAR Local 1|WAR Local 1|WAR Local 1|WAR Local 1|WEN Local 1|YAK Local 1","147.4125|146.5|440.925|146.5|443.325|440.7|440.925|147.4375|444.15|440.925|147.4125|440.375|443.1|444.7125|441.7|441.25|145.21|440.725|444.4875|440.7125|444.15|444.8375|440.8125|440.5125|442.8875|441.2875|444.125|147.4125|444.15|441.325|147.02|444.15|443.1|442.025|444.4|441.35|440.7375|147.425|440.725|440.7|440.7125|440.725|440.7375|440.75|440.7625|440.775|443.75|147.12","146.4125|147.5|445.925|147.5|448.325|445.7|445.925|146.3375|449.15|445.925|146.4125|445.375|448.1|449.7125|446.7|446.25|147.99|445.725|449.4875|445.7125|449.15|449.8375|445.8125|445.5125|447.8875|446.2875|449.125|146.4125|449.15|446.325|147.62|449.15|448.1|447.025|449.4|446.35|445.7375|146.425|445.725|445.7|445.7125|445.725|445.7375|445.75|445.7625|445.775|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"23","Local 2","ARI Local 2|BAW Local 2|BEU Local 2|BEV Local 2|BRE Local 2|CDA Local 2|CHI Local 2|ELU Local 2|ELV Local 2|EVE Local 2|KEC Local 2|KER Local 2|Local 2|MAZ Local 2|MMB Local 2|NBE Local 2|NEB Local 2|OLY Local 2|OSO Local 2|PPM Local 2|SAL Local 2|SCO Local 2|SKU Local 2|SKV Local 2|SLO Local 2|SME Local 2|SNO Local 2|SPC Local 2|STI Local 2|SUL Local 2|TBA Local 2|TIU Local 2|TIV Local 2|TRU Local 2|WAR Local 2|WAR Local 2|WAR Local 2|WAR Local 2|WAR Local 2|WAR Local 2|WAR Local 2|WEN Local 2|YAK Local 2","147.4125|146.5|440.925|146.5|440.7|440.925|147.4375|440.925|147.4125|440.375|444.7125|441.7|441.25|145.21|434|440.725|444.4875|440.7125|444.15|444.8375|442.8875|441.2875|444.125|147.4125|444.15|441.325|147.02|444.15|442.025|444.4|441.35|440.7375|147.425|440.725|440.7|440.7125|440.725|440.7375|440.75|440.7625|440.775|443.75|147.12","146.4125|147.5|445.925|147.5|445.7|445.925|146.3375|445.925|146.4125|445.375|449.7125|446.7|446.25|147.99|434|445.725|449.4875|445.7125|449.15|449.8375|447.8875|446.2875|449.125|146.4125|449.15|446.325|147.62|449.15|447.025|449.4|446.35|445.7375|146.425|445.725|445.7|445.7125|445.725|445.7375|445.75|445.7625|445.775|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"24","Michigan 1","MAZ Michigan 1|MMH Michigan 1|SCO Michigan 1|TBA Michigan 1","145.21|434|441.2875|441.35","147.99|434|446.2875|446.35","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"25","Michigan 2","MAZ Michigan 2","145.21","147.99","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"26","Montana 2","ARI Montana 2|BAW Montana 2|BEU Montana 2|BEV Montana 2|BJJ Montana 2|BRE Montana 2|CDA Montana 2|CHI Montana 2|COR Montana 2|ELU Montana 2|ELV Montana 2|EVE Montana 2|GRE Montana 2|MAZ Montana 2|MMH Montana 2|MMS Montana 2|OLY Montana 2|OSO Montana 2|PSA Montana 2|PSC Montana 2|PSY Montana 2|SCO Montana 2|SME Montana 2|SPC Montana 2|STB Montana 2|TBA Montana 2|TRU Montana 2|WAR Montana 2|WAR Montana 2|WAR Montana 2|WAR Montana 2|WAR Montana 2|WAR Montana 2|WAR Montana 2|YAK Montana 2","147.4125|146.5|440.925|146.5|443.325|440.7|440.925|147.4375|444.15|440.925|147.4125|440.375|443.1|145.21|434|434|440.7125|444.15|440.8125|441.325|440.5125|441.2875|441.325|444.15|443.1|441.35|440.725|440.7|440.7125|440.725|440.7375|440.75|440.7625|440.775|147.12","146.4125|147.5|445.925|147.5|448.325|445.7|445.925|146.3375|449.15|445.925|146.4125|445.375|448.1|147.99|434|434|445.7125|449.15|445.8125|446.325|445.5125|446.2875|446.325|449.15|448.1|446.35|445.725|445.7|445.7125|445.725|445.7375|445.75|445.7625|445.775|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"27","Mountain 2","BJJ Mountain 2|CDA Mountain 2|CHI Mountain 2|COR Mountain 2|GRE Mountain 2|KEC Mountain 2|KER Mountain 2|MAZ Mountain 2|MMH Mountain 2|OSO Mountain 2|PSA Mountain 2|PSC Mountain 2|PSY Mountain 2|SCO Mountain 2|SKU Mountain 2|SKV Mountain 2|SLO Mountain 2|STB Mountain 2|TBA Mountain 2|YAK Mountain 2","443.325|440.925|147.4375|444.15|443.1|444.7125|441.7|145.21|434|444.15|440.8125|441.325|440.5125|441.2875|444.125|147.4125|444.15|443.1|441.35|147.12","448.325|445.925|146.3375|449.15|448.1|449.7125|446.7|147.99|434|449.15|445.8125|446.325|445.5125|446.2875|449.125|146.4125|449.15|448.1|446.35|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"28","MPRG 1-2","BJJ MPRG 1-2|CDA MPRG 1-2|COR MPRG 1-2|GRE MPRG 1-2|MAZ MPRG 1-2|MMB MPRG 1-2|MMH MPRG 1-2|MMS MPRG 1-2|PSA MPRG 1-2|PSC MPRG 1-2|PSY MPRG 1-2|STB MPRG 1-2","443.325|440.925|444.15|443.1|145.21|434|434|434|440.8125|441.325|440.5125|443.1","448.325|445.925|449.15|448.1|147.99|434|434|434|445.8125|446.325|445.5125|448.1","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"29","Net 2","ARI Net 2|BAW Net 2|BEV Net 2|BJJ Net 2|BRE Net 2|CDA Net 2|CHI Net 2|COR Net 2|ELU Net 2|ELV Net 2|EVE Net 2|GRE Net 2|MAZ Net 2|NBE Net 2|Net 2|OLY Net 2|OSO Net 2|PPM Net 2|PSA Net 2|PSC Net 2|PSY Net 2|SCO Net 2|SKU Net 2|SKV Net 2|SLO Net 2|SME Net 2|SNO Net 2|STB Net 2|STI Net 2|TBA Net 2|TIU Net 2|TIV Net 2|TRU Net 2|WEN Net 2|YAK Net 2","147.4125|146.5|146.5|443.325|440.7|440.925|147.4375|444.15|440.925|147.4125|440.375|443.1|145.21|440.725|441.25|440.7125|444.15|444.8375|440.8125|441.325|440.5125|441.2875|444.125|147.4125|444.15|441.325|147.02|443.1|442.025|441.35|440.7375|147.425|440.725|443.75|147.12","146.4125|147.5|147.5|448.325|445.7|445.925|146.3375|449.15|445.925|146.4125|445.375|448.1|147.99|445.725|446.25|445.7125|449.15|449.8375|445.8125|446.325|445.5125|446.2875|449.125|146.4125|449.15|446.325|147.62|448.1|447.025|446.35|445.7375|146.425|445.725|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"30","North America 2","AMB North Am 2|ARI North Am 2|BAW North Am 2|BEU North Am 2|BEV North Am 2|BJJ North Am 2|BLA North Am 2|BRE North Am 2|CHI North Am 2|COR North Am 2|ELU North Am 2|ELV North Am 2|EVE North Am 2|GRE North Am 2|KEC North Am 2|KER North Am 2|MAZ North Am 2|MMH North Am 2|NEW North Am 2|North America 2|OLY North Am 2|OSO North Am 2|PSA North Am 2|PSC North Am 2|PSY North Am 2|SCO North Am 2|SEY North Am 2|SKU North Am 2|SKV North Am 2|SLO North Am 2|SME North Am 2|STB North Am 2|TBA North Am 2|TRU North Am 2|WEN North Am 2|YAK North Am 2","443.85|147.4125|146.5|440.925|146.5|443.325|443.85|440.7|147.4375|444.15|440.925|147.4125|440.375|443.1|444.7125|441.7|145.21|434|444.6|441.25|440.7125|444.15|440.8125|441.325|440.5125|441.2875|443.4|444.125|147.4125|444.15|441.325|443.1|441.35|440.725|443.75|147.12","448.85|146.4125|147.5|445.925|147.5|448.325|448.85|445.7|146.3375|449.15|445.925|146.4125|445.375|448.1|449.7125|446.7|147.99|434|449.6|446.25|445.7125|449.15|445.8125|446.325|445.5125|446.2875|448.4|449.125|146.4125|449.15|446.325|448.1|446.35|445.725|448.75|147.72","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
